站点,Lon,Lat,Alti,PRS,TEM,RHU,PRE_1h,D_Avg_2,Avg_2,VIS,PRS_Sea
54065, 125.65,  44.53,  169.10,  985.20,    25.30,     79.00,        0.30,     19.00,    2.10,   4000.00,    1004.60
58631, 118.50,  28.90,  137.00,  989.70,    27.60,     82.00,        0.00,    109.00,    0.60,   3100.00,    1005.30
57671, 112.37,  28.85,   37.00, 1000.90,    25.20,     99.00,        0.00,    346.00,    0.90,   1200.00,    1005.30
57845, 109.78,  26.17,  397.50,  960.70,    26.80,     87.00,        0.00,    184.00,    0.90,   7500.00,    1005.00
57666, 112.17,  28.51,  136.90,  989.30,    24.40,     99.00,        0.00,    226.00,    0.80,   1800.00,    1005.00
54401, 114.92,  40.77,  772.80,  920.80,    21.60,     73.00,        0.00,    256.00,    0.60,  22200.00,    1006.10
51468,  86.83,  43.10, 3539.00,999999.00,999999.00, 999999.00,        0.00, 999999.00,999999.00, 999999.00,  999999.00
57955, 110.67,  25.62,  224.00,  980.10,    26.50,     94.00,        0.00,    227.00,    1.50,  12300.00,    1005.30
57745, 109.68,  27.45,  272.20,  973.90,    27.40,     90.00,        0.00, 999999.00,    0.00,  12800.00,    1004.30
57655, 110.40,  28.47,  151.60,  987.00,    26.90,     87.00,        0.00,    357.00,    1.30,   4800.00,    1004.20
57658, 110.20,  28.00,  152.80,  986.60,    27.20,    100.00,        0.00,    188.00,    0.40,   5800.00,    1003.90
57752, 110.60,  27.92,  204.00,  981.20,    27.40,    100.00,        0.00,    103.00,    0.70,   5400.00,    1004.20
57687, 112.79,  28.11,  119.00,  991.10,    26.40,     95.00,        0.00,    345.00,    1.90,   5600.00,    1004.70
57743, 109.80,  27.87,  176.60,  984.00,    27.50,    100.00,        0.00,     43.00,    1.60,   4700.00,    1003.90
58036, 118.71,  34.54,   32.90, 1003.20,    22.80,     98.00,        0.00,    170.00,    1.10,   1800.00,    1007.20
57903, 105.60,  25.94, 1142.00,  880.90,    22.80,     90.00,        0.00,    184.00,    0.80,  13600.00,    1003.20
58917, 116.10,  25.08,  307.00,  971.60,    28.20,     84.00,        0.00,    274.00,    0.50,  17300.00,    1005.80
57744, 109.16,  27.37,  355.50,  964.40,    27.30,     96.00,        0.00, 999999.00,    0.00,   7300.00,    1004.00
51814,  77.40,  37.92, 1360.40,  860.00,    16.70,     83.00,        0.00,    170.00,    0.20,  17200.00,    1005.10
58301, 115.39,  31.82,   92.10,  995.60,    21.10,    100.00,        2.60,     37.00,    1.70,   7300.00,    1006.40
